日期,證券代號,證券名稱,序號,券商,價格,買進股數,賣出股數
2002/03/11,3034,novatek,114,1045,429.00,10,3000
2002/03/11,3034,novatek,115,1045,429.50,1000,0
2002/03/11,3034,novatek,116,1045,430.00,1000,1000
2002/03/11,3034,novatek,117,1045,431.00,1000,2000
2002/03/11,3034,novatek,118,104A,423.00,0,1000
2002/03/11,3034,novatek,119,104A,424.50,0,4000
2002/03/11,3034,novatek,120,104A,425.00,1000,0
2002/03/11,3034,novatek,121,104A,425.50,0,80
2002/03/11,3034,novatek,122,104A,427.00,1000,0
2002/03/11,3034,novatek,123,104A,428.00,0,10
2002/03/11,3034,novatek,124,104A,429.00,10,2057
2002/03/11,3034,novatek,125,104A,429.50,20,15
2002/03/11,3034,novatek,126,104A,430.00,1009,3000
2002/03/11,3034,novatek,127,104A,431.00,0,1000
2002/03/11,3034,novatek,128,104A,431.50,0,2000
2002/03/11,3034,novatek,129,104C,425.00,1000,0
2002/03/11,3034,novatek,130,104C,426.00,0,12
2002/03/11,3034,novatek,131,104C,427.00,0,100
2002/03/11,3034,novatek,132,104C,429.00,0,1030
2002/03/11,3034,novatek,133,104C,429.50,0,2000
2002/03/11,3034,novatek,134,104C,430.00,1000,300
2002/03/11,3034,novatek,135,104C,430.50,2000,0
2002/03/11,3034,novatek,136,104C,431.00,0,2000
2002/03/11,3034,novatek,137,104C,431.50,0,1000
2002/03/11,3034,novatek,138,104D,429.00,0,3000
2002/03/11,3034,novatek,139,104D,429.50,2,1000
2002/03/11,3034,novatek,140,104D,430.00,0,1100
2002/03/11,3034,novatek,141,1110,421.00,0,1000
2002/03/11,3034,novatek,142,1110,422.00,0,1000
2002/03/11,3034,novatek,143,1110,429.50,1000,0
2002/03/11,3034,novatek,144,1110,431.50,0,1000
2002/03/11,3034,novatek,145,1112,426.50,1000,0
2002/03/11,3034,novatek,146,1112,429.00,0,1000
2002/03/11,3034,novatek,147,1112,430.00,0,2000
2002/03/11,3034,novatek,148,1112,431.00,0,1000
2002/03/11,3034,novatek,149,1114,428.50,0,1000
2002/03/11,3034,novatek,150,1114,429.00,0,2000
2002/03/11,3034,novatek,151,1114,429.50,0,100
2002/03/11,3034,novatek,152,1114,431.00,0,1000
2002/03/11,3034,novatek,153,1115,425.00,0,1000
2002/03/11,3034,novatek,154,1117,429.00,1000,0
2002/03/11,3034,novatek,155,1117,429.50,0,1030
2002/03/11,3034,novatek,156,1118,429.00,0,2000
2002/03/11,3034,novatek,157,1119,425.50,0,3000
2002/03/11,3034,novatek,158,1119,426.50,0,4000
2002/03/11,3034,novatek,159,1119,430.00,0,1000
2002/03/11,3034,novatek,160,111E,428.50,0,1000
2002/03/11,3034,novatek,161,111E,429.00,1000,0
